idOs;placa;chassi;Latitude;Longitude
12647;QXN3483;9BFZH55L8L8494474;-19,854321;-43,9570156
12648;QXN3E67;9BFZH55L5L8490138;-20,1935853;-40,2595591
12674;QXR7C15;9BFZH55L8L8490490;-19,6601323;-43,9382915
12677;QXI8779;9BFZH55L7L8476158;-23,953849;-46,3317791
12682;QXO1451;9BFZH55LXL8494542;-19,8736833;-43,9781698
12683;QXO1457;9BFZH55L4L8494598;-18,9049228;-48,2606256
12725;QXO1454;9BFZH55L2L8000948;-19,9436005;-44,0367848
12743;QWW9434;9BFZH55L7L8452670;-20,2557971;-40,2895233
12757;QWX0676;9BFZH55L0L8458214;-19,8807535;-43,9304305
12771;QXN6343;9BFZH55L4L8482130;-27,0008223;-48,6307418
12776;QXS7F02;9BFZH54L4L8489239;-27,5949831;-48,5595961
12795;QXD9454;9BFZH55L3L8468834;-22,8866391;-43,354788
12818;QXP3J64;9BFZH54L7L8478624;-27,000831;-48,6307136
12820;QXS1A45;9BFZH55L2L8495152;-25,538424;-49,1767533
12836;QXM9207;9BFZH54L7L8489042;-25,5382631;-49,1765453
12837;QXS7E96;9BFZH54L4L8001777;-27,5949415;-48,5596188
12840;QXS7E71;9BFZH54L1L8001851;-25,5381635;-49,1764811
12842;QXP4F77;9BFZH54L1L8492244;-29,9935446;-51,1857201
12845;QXD0168;9BFZH55L5L8465420;-27,0008838;-48,6306651
12850;QXS7E83;9BFZH54L2L8001969;-25,5382926;-49,176612
12852;QXS7E94;9BFZH54L3L8006677;-23,327262;-51,1390971
12860;QXE4612;9BFZH55L3L8470485;-23,4906186;-47,4429366
12904;QWY5540;93Y4SRZ85LJ287324;-23,5376045;-46,5809221
12954;QXS0H76;93Y4SRZ85MJ391011;-10,988976;-37,0736433
12986;QXF7845;93Y4SRZ85LJ292928;-19,8585983;-43,9582898
12997;QUM9903;93Y4SRZ85LJ128892;-19,9380915;-43,9318265
13005;QXJ3701;93Y4SRZ85MJ347242;-16,7188545;-43,8556641
13030;QXR4E93;93Y4SRZ85MJ388950;-19,9396755;-43,933207
13033;QXS0H50;93Y4SRZ85MJ388949;-20,1936465;-40,2595845
13056;QXS0J17;93Y4SRZ85MJ395311;-19,9048953;-43,9657806
13070;QXM7664;93Y4SRZ85MJ383452;-19,8736453;-43,9781265
13079;QXQ7F28;93Y4SRZ85MJ386113;-29,6930985;-53,8003493
13148;QXA9786;9BGEB48A0LG140845;-29,9934783;-51,1851371
13156;QWW8036;9BGKL69U0LB163374;-29,9933855;-51,1855716
13171;QXP3A68;9BGEB48A0LG205684;-25,445422;-49,2975518
13204;QUV5330;9BGKL48U0LB140294;-30,0093961;-51,1420271
13253;QUU9166;9BGKS48U0KG476420;-23,6781995;-46,5557775
13259;QXA4262;9BGEB48A0LG140890;-23,6938425;-46,5498396
13261;QWW8468;9BGKL69U0LB160175;-23,620723;-46,6656085
13267;QWY7355;9BGKL69U0LB165892;-23,5227756;-46,6709
13294;QUZ0675;9BGKL48U0LB149207;-23,5380623;-46,306354
13384;QXP9E07;9BGEB48A0LG210371;-23,4459721;-46,4897678
13391;QXQ0F36;9BGEB48A0LG208935;-23,5375978;-46,5809581
13405;QUP4143;9BGKS48U0KG463782;-23,658464;-46,6786781
13429;QUO6479;9BGKS48U0KG465713;-23,176462;-46,8969756
13432;QXQ2D78;9BGKD48U0LB195748;-23,5131063;-46,6909245
13478;QUO6505;9BGKS48U0KG466355;-22,9334326;-47,0794956
13485;QUP4161;9BGKS48U0KG464872;-21,1996045;-47,797681
13512;QUU6492;9BGKL48U0LB134421;-23,6180856;-46,627182
13515;QUQ6908;9BGKL48U0LB128761;-23,6204843;-46,6655578
13517;QXQ6J23;9BGKL48U0LB196197;-23,5376735;-46,5806746
13554;QXQ6H76;9BGKD48U0LB196312;-19,6600858;-43,9382883
13561;QUE8142;9BGKS48U0KG419912;-12,905954;-38,3411671
13576;QUO9842;9BGKS48U0KG458895;-19,632233;-43,2343418
13668;QXD7C20;9BGKL69U0LB174898;-22,9240283;-43,2382458
13676;QWR1863;9BGKL48U0LB145707;-18,9051325;-48,260595
13699;QWU6647;9BGKL48U0LB157284;-19,8543916;-43,9570973
13711;QXJ8A51;9BGKL48U0LB181423;-19,9395025;-43,9330053
13718;QXK0799;9BGKD48U0LB183838;-19,9383081;-43,932032
13732;QWZ7997;9BGEB48A0LG127364;-22,9334393;-47,079276
13753;QXN5457;9BGEB48A0LG201911;-19,3970815;-40,0645958
13760;QXN5455;9BGEB48A0LG201871;-19,8808358;-43,9302998
13764;QXJ9837;9BGKL48U0LB185746;-19,9436836;-44,0368143
13776;QXM0075;9BGKD48U0LB188553;-19,8541755;-43,9570108
13787;QXN5439;9BGEB48A0LG201735;-22,9587543;-46,5438585
